id,label,type,group,note
categoria_pensamiento_y_conocimiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
categoria_contexto_sociohistorico,Contexto socio-histórico,category,Contexto socio-histórico,
categoria_personales_y_biograficas,Personales y biográficas,category,Personales y biográficas,
categoria_culturales_y_artisticas,Culturales y artísticas,category,Culturales y artísticas,
ref_residencia_sitges_la_blanca_subur,Residencia: Sitges (La Blanca Subur),reference,Personales y biográficas,"…desde hace algunos años vive entre nosotros en España. Primero eligió su residencia en La Blanca Subur, cerca de la playa rubia de Sitges, y posteriormente, en una de sus andanzas por el país,…"
ref_residencia_sitges,Residencia: Sitges,reference,Personales y biográficas,"…os en España. Primero eligió su residencia en La Blanca Subur, cerca de la playa rubia de Sitges, y posteriormente, en una de sus andanzas por el país, se enamoró de Cal Aceite en la pro…"
ref_residencia_calaceite_teruel,Residencia: Calaceite (Teruel),reference,Personales y biográficas,"…laya rubia de Sitges, y posteriormente, en una de sus andanzas por el país, se enamoró de Cal Aceite en la provincia de Teruel, y ahí es donde tiene actualmente su residencia. De cualquier m…"
ref_residencia_calaceite_teruel_2,Residencia: Calaceite (Teruel),reference,Personales y biográficas,"…nces en nuestras andanzas llegamos a un pueblito de Teruel, del Bajo Teruel, que se llama Calaceite. La llegada ahí fue curiosa porque fui a través de mi traductor al francés, o sea, que se…"
ref_estancia_paris,Estancia: París,reference,Personales y biográficas,"…irá todo lo que tenga que decir al respecto, no ha sido tan fácil porque Donoso estaba en París, donde suele pasar algunas temporadas. De cualquier modo, de esta y de otras cosas vamos…"
ref_residencia_en_espana,Residencia en España,reference,Personales y biográficas,"…so del diálogo, es la última novela aparecida de José Donoso, aunque con posterioridad en España se haya puesto a la venta otra obra este domingo, que ya había aparecido en 1966 en Méxic…"
ref_origen_chile,Origen: Chile,reference,Personales y biográficas,"…la venta otra obra este domingo, que ya había aparecido en 1966 en México y más tarde en Chile. José Donoso es un gran escritor chileno que desde hace algunos años vive entre nosotros…"
ref_estancias_en_mallorca,Estancias en Mallorca,reference,Personales y biográficas,"…ue corregirte un poco la plana. En realidad yo llegué a España hace nueve años y llegué a Mallorca. Y viví en Mallorca dos años. Después de ahí me ahogó la isla, había una cosa claustrofób…"
ref_nacimiento_vida_en_santiago_de_chile_mencion,Nacimiento/vida en Santiago de Chile (mención),reference,Personales y biográficas,"…proyecta con un mayor vigor. Claro, claro. José Donoso es chileno, nacido exactamente en Santiago de Chile, el año 1924. En una familia, dícese, que de médicos y de abogados. Supongo que algo más…"
