id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_arequipa,Arequipa,reference,Personales y biográficas,"…a, de la persona de este novelista que tiene más bien el aire de un galán de cine Mario Vargas Llosa nació en Arequipa, Perú en 1936 me parece que fue en el mes de marzo también y por lo tanto está muy cerca de los 40 Exactament…"
ref_cochabamba-bolivia,Cochabamba (Bolivia),reference,Personales y biográficas,"…ra donde nací ya adolescente porque mi familia se trasladó a Bolivia cuando yo tenía apenas un año vivimos en Cochabamba, cerca de 10 años así que en realidad fue en Bolivia donde aprendí a caminar, a hablar, a leer, a escribir ¿Q…"
ref_piura,Piura,reference,Personales y biográficas,"…e parece cuando la familia regresa al Perú y esa una ciudad que luego aparece en la segunda de tus novelas es Piura, ¿no? Piura, sí, es una ciudad del norte del Perú una ciudad muy distinta de Cochabamba que es una ciudad, bu…"
ref_lima,Lima,reference,Personales y biográficas,"…o la leyenda bueno, mientras tanto han pasado otras cosas simultáneamente en la vida de Vargas Llosa ha ido a Lima en el año 47 y en el año 1950 se produce su entrada en el famoso colegio en el colegio que quizá era famoso e…"
ref_colegio-militar-leoncio-prado,Colegio Militar Leoncio Prado,reference,Personales y biográficas,…e su entrada en el famoso colegio en el colegio que quizá era famoso entonces pero que es mucho más famoso el Leóncio Prado el Leóncio Prado desde la novela este colegio parece que marcó algo importante en la sensibilidad del trauma…
ref_destino-editorial,Destino (editorial),reference,Personales y biográficas,…es la fórmula de una conversación de un diálogo entre un muchacho antiguo universitario antiguo militante clandestino y un antiguo guardaespaldas de funcionarios de la dictadura y un poco a través de la vida de estos dos person…
ref_panagra-aerolinea,Panagra (aerolínea),reference,Personales y biográficas,…a en el aeropuerto de Arequipa y ahí conoció a mi madre ¿aviador comercial o aviador militar? trabajaba en la Panagra lo que era la antigua Panamérica que era la Panagra y él trabajó ahí ¿como piloto? sí mi padre también ha sid…
ref_familia-padre-piloto,Familia (padre piloto),reference,Personales y biográficas,…r militar? trabajaba en la Panagra lo que era la antigua Panamérica que era la Panagra y él trabajó ahí ¿como piloto? sí mi padre también ha sido uno de los pioneros un poco aventurero ha sido muchas cosas fue piloto fue marin…
ref_mario-vargas-llosa,Mario Vargas Llosa,reference,Personales y biográficas,"…atos para el premio Nobel y por otra parte saber que en España tiene lectores por cientos de miles Bienvenido Mario Vargas Llosa y vamos si le parece hablar un poquito acerca de la obra, de la figura, de la persona de este novelista que t…"
ref_la-casa-verde,La casa verde,reference,Culturales y artísticas,…al máximo y además con una cierta ambición diríamos ¿no? desde el punto de vista ya de la propia novela ¿no? La Casa Verde es una novela que plantea una temática completamente distinta y en la que al parecer Vargas Llosa ya no vive…
ref_conversacion-en-la-catedral,Conversación en La Catedral,reference,Culturales y artísticas,…sabe nunca la amistad como todo es tan relativo ¿no? muy bien después de la Casa Verde el libro siguiente es Conversación en la Catedral yo quisiera que nos hablaras un poco de cómo nace cómo germina la idea de ese libro bueno pues nace también d…
ref_gustave-flaubert,Gustave Flaubert,reference,Culturales y artísticas,"…IX bueno, yo cité ya a Dumas y bueno, Víctor Hugo, por supuesto y después a los autores ya más complejos como Flaubert, Estandard, Balzac y bueno, también escritores modernos, por supuesto Sartre, me imagino Sartre, mucho bueno,…"
ref_madame-bovary-flaubert,Madame Bovary (Flaubert),reference,Culturales y artísticas,…actividad literaria de Mario Vargas Llosa aquí tenemos una por ejemplo la logía perpetua sobre Flopbert sobre Madame Bovary y luego hay otro que yo sepa que es un estudio de García Márquez historia de un deicidio ¿por qué? es raro es…
ref_alexandre-dumas,Alexandre Dumas,reference,Culturales y artísticas,"…rí las novelas de aventuras por las que guardo una gran devoción hasta ahora ¿en especial? bueno, en especial Dumas Dumas lo leí después lo leí después pero en Cochabamba ya recuerdo haber leído a Miguel de Sébaco, por ejempl…"
ref_victor-hugo,Víctor Hugo,reference,Culturales y artísticas,"…través de los escritores franceses sobre todo los escritores del siglo XIX bueno, yo cité ya a Dumas y bueno, Víctor Hugo, por supuesto y después a los autores ya más complejos como Flaubert, Estandard, Balzac y bueno, también escr…"
ref_honore-de-balzac,Honoré de Balzac,reference,Culturales y artísticas,"…a Dumas y bueno, Víctor Hugo, por supuesto y después a los autores ya más complejos como Flaubert, Estandard, Balzac y bueno, también escritores modernos, por supuesto Sartre, me imagino Sartre, mucho bueno, yo hablaba de las…"
ref_jean-paul-sartre,Jean-Paul Sartre,reference,Culturales y artísticas,"…autores ya más complejos como Flaubert, Estandard, Balzac y bueno, también escritores modernos, por supuesto Sartre, me imagino Sartre, mucho bueno, yo hablaba de las primeras lecturas antes de las lecturas ya universitarias…"
ref_albert-camus,Albert Camus,reference,Culturales y artísticas,"…ras antes de las lecturas ya universitarias cuando yo entré a la universidad, por supuesto es decir, Sartre y Camus, digamos eran un poco los maestros intelectuales de mi generación y creo que ocurría eso prácticamente en tod…"
ref_jorge-luis-borges,Jorge Luis Borges,reference,Culturales y artísticas,…s que esos esos pocos nombres ¿no? creo que gracias al boom se descubrieron a escritores extraordinarios como Borges por ejemplo que apenas si era leído fuera de Argentina y que hoy día es leído en todas las las lenguas del mu…
ref_gabriel-garcia-marquez,Gabriel García Márquez,reference,Culturales y artísticas,…os dos protagonistas fundamentales del boom del llamado boom hispanoamericano son precisamente Vargas Llosa y García Márquez tú conociste a Gabriel García Márquez en Caracas en ocasión de recoger tu premio exactamente nos conocimos al…
ref_juan-benet,Juan Benet,reference,Culturales y artísticas,…y interesantes y que quizá no estén suficientemente justamente valorados en lo que son no sé por ejemplo pues Benet me parece un escritor muy importante me gustan mucho las novelas de Juan Marce yo soy un gran entusiasta las…
