id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_nacimiento-en-caracas-1906,Nacimiento en Caracas (1906),reference,Personales y biográficas,«El doctor Uslar es un hombre que nace en 1906 en Caracas…»
ref_infancia-bajo-dictadura-de-juan-vicente-gomez,Infancia bajo dictadura de Juan Vicente Gómez,reference,Personales y biográficas,«Vivió su infancia bajo la dictadura de Gómez…»
ref_trayectoria-politica-ministro-secretario-de-la-presidencia-senador-embajador-en-la-unesco,"Trayectoria política (ministro, secretario de la Presidencia, senador, embajador en la UNESCO)",reference,Personales y biográficas,«…ha sido ministro… secretario de la presidencia… senador… embajador… en la unesco.»
ref_detencion-durante-la-dictadura-de-perez-jimenez,Detención durante la dictadura de Pérez Jiménez,reference,Personales y biográficas,«yo salí de la cárcel modelo de Caracas a las 3 o 4 de la mañana…»
ref_miguel-angel-asturias-amistad-y-carta-de-presentacion,Miguel Ángel Asturias (amistad y carta de presentación),reference,Personales y biográficas,«…con una carta que me dio Miguel Ángel Asturias… fue mi entrañable amigo…»
ref_descendencia-y-familia-dos-hijos-varones-apellido-husler,Descendencia y familia (dos hijos varones; apellido Hüsler),reference,Personales y biográficas,«usted tiene dos hijos varones… el apellido Hussler…»
ref_origenes-familiares-aleman-de-hanover-corsos,Orígenes familiares (alemán de Hanover; corsos),reference,Personales y biográficas,«…un alemán de Hanover… hubo una fuerte inmigración corso…»
ref_legion-extranjera-con-bolivar-200-oficiales,Legión extranjera con Bolívar (200 oficiales),reference,Personales y biográficas,«…vino con una legión… de unos 200 oficiales… el año de 1818…»
ref_las-lanzas-coloradas-novela,Las lanzas coloradas (novela),reference,Culturales y artísticas,«…se incluyen… *Las lanzas coloradas*…»
ref_el-camino-del-dorado-novela,El camino del Dorado (novela),reference,Culturales y artísticas,«…*El camino del dorado*… López Aguirre…»
ref_el-laberinto-de-la-fortuna-novela,El laberinto de la fortuna (novela),reference,Culturales y artísticas,«…*El laberinto de fortuna* con el título de Juan de Mena…»
ref_barrabas-y-otros-relatos-cuentos,Barrabás y otros relatos (cuentos),reference,Culturales y artísticas,«Mi primer libro fue un libro de cuentos… *Barrabás y otros relatos*…»
ref_la-otra-america-ensayo,La otra América (ensayo),reference,Culturales y artísticas,«…*la otra América*…»
ref_tierra-venezolana-ensayo,Tierra venezolana (ensayo),reference,Culturales y artísticas,«…*tierra venezolana*…»
ref_don-quijote-de-la-mancha,Don Quijote de la Mancha,reference,Culturales y artísticas,«…si uno lee el *Quijote*…»
ref_menendez-pelayo-antologia-1892,Menéndez Pelayo (antología 1892),reference,Culturales y artísticas,«El propio Menéndez Pelayo… *antología de la poesía hispanoamericana*… 1892…»
ref_jorge-luis-borges,Jorge Luis Borges,reference,Culturales y artísticas,«Jorge Luis Borges decía…»
ref_inca-garcilaso-de-la-vega,Inca Garcilaso de la Vega,reference,Culturales y artísticas,«…es el Inca Garcilaso de la Vega… *Comentarios reales*…»
ref_comentarios-reales-obra,Comentarios reales (obra),reference,Culturales y artísticas,«…ese fabuloso libro… *los comentarios reales*…»
ref_juan-de-mena-poeta,Juan de Mena (poeta),reference,Culturales y artísticas,«…con el título de Juan de Mena…»
ref_jose-ortega-y-gasset,José Ortega y Gasset,reference,Culturales y artísticas,«…se ha llamado a Uslar… un nuevo Ortega y Gasset…»
ref_rufino-blanco-fombona,Rufino Blanco Fombona,reference,Culturales y artísticas,«…residió en España… fundó Editorial América…»
ref_andres-eloy-blanco-poesia,Andrés Eloy Blanco (poesía),reference,Culturales y artísticas,«…Andrés Lloyd Blanco… *Angelitos Negros*…»
ref_la-voragine-novela-mencion-como-boragine,La vorágine (novela; mención como 'Borágine'),reference,Culturales y artísticas,"«…títulos… Borágine, Doña Bárbara, Don Segundo Sombra…»"
ref_dona-barbara-novela,Doña Bárbara (novela),reference,Culturales y artísticas,«…títulos… Doña Bárbara…»
ref_don-segundo-sombra-novela,Don Segundo Sombra (novela),reference,Culturales y artísticas,«…títulos… Don Segundo Sombra…»
ref_realismo-magico-termino-critico,Realismo mágico (término crítico),reference,Culturales y artísticas,«…en 1948… hable del realismo mágico…»
ref_bello-andres-bello,Bello (Andrés Bello),reference,Culturales y artísticas,«…se publicó a Bello…»
ref_domingo-f-sarmiento,Domingo F. Sarmiento,reference,Culturales y artísticas,«…se publicó a Sarmiento…»
ref_eugenio-maria-de-hostos,Eugenio María de Hostos,reference,Culturales y artísticas,«…se publicó a Hostos…»
ref_poetas-del-modernismo,Poetas del modernismo,reference,Culturales y artísticas,«…se publicaron los poetas del modernismo…»
ref_adaptacion-cinematografica-de-las-lanzas-coloradas-intentos,Adaptación cinematográfica de Las lanzas coloradas (intentos),reference,Culturales y artísticas,«Se ha intentado… llevarlo al cine… no se ha cuajado…»
ref_barroco-de-indias-arte,Barroco de Indias (arte),reference,Culturales y artísticas,«…sale esa creación extraordinaria que es el barroco de indias…»
ref_angelitos-negros-cancion-a-partir-del-poema,"Angelitos negros (canción, a partir del poema)",reference,Culturales y artísticas,«…canto español que dio origen a una canción llamada *Angelitos Negros*…»
ref_coran,Corán,reference,Pensamiento y conocimiento,«…en el Corán no se menciona al camello…»
ref_mahoma,Mahoma,reference,Pensamiento y conocimiento,«…para Mahoma el camello no era nada…»
ref_francisco-de-vitoria-salamanca,Francisco de Vitoria (Salamanca),reference,Pensamiento y conocimiento,«…dice… España no tiene derecho a conquistar a las Indias…»
ref_bartolome-de-las-casas,Bartolomé de las Casas,reference,Pensamiento y conocimiento,«…aquella frase… “todas las naciones son hombres”…»
ref_universidad-de-salamanca-juntas-teologosjuristas,Universidad de Salamanca (juntas teólogos/juristas),reference,Pensamiento y conocimiento,«…en la universidad de Salamanca… juntas de teólogos y juristas…»
